Name,Type,City,Address,Latitude,Longitude,Price(Rs.),Time
GBcoloring,art gallery,Chennai,Gb Coloring  Wallace Garden 2nd Street  Thousand Lights West  Thousand Lights  Chennai  Tamil Nadu  Ấn Độ (Wallace Garden 2nd Street)  Chennai 600006  Tamil Nadu,13.07620055,80.26999712,160,2 hour 20 min
Goverment Museum,museum,Chennai,,13.071603,80.257171,220,4 hour 20 min
Government Museum,museum,Chennai,486 Beside Goverment Maternity Hospital  Pantheon Road  Egmore  Chennai 600008  Tamil Nadu,13.071303,80.256455,210,5 hour 10 min
Government Museum Egmore,museum,Chennai,Government Museum Chennai  Egmore (Pantheon Road)  Chennai 600008  Tamil Nadu,13.070124,80.256968,180,3 hour 20 min
Gujarat Amusement Industries,amusement park,Chennai,135 Linghi Chty St  Chennai 600001  Tamil Nadu,13.068696,80.261328,290,2 hour 29 min
Nageshwara Rao Park,park,Chennai,Luz Church Road  Mylapore (Luz Ave.)  Chennai 600004  Tamil Nadu,13.036444,80.263442,50,2 hour
P Orr and Sons P. Ltd.,monument,Chennai,Anna Salai  Mount Road  Chennai 600002  Tamil Nadu,13.06856,80.27176,40,4 hour 10 min
Pallavan House,monument,Chennai,Anna Salai  Chennai 600009  Tamil Nadu,13.073526,80.275969,90,3 hour 30 min
Panagal Park,park,Chennai,Tnagar  Chennai 600017  Tamil Nadu,13.041199,80.233036,100,2 hour
Parthasarathy Temple,temple,Chennai,Triplicane  Chennai 941735  Tamil Nadu,13.053826,80.277078,50,3 hour
Perambur Park,amusement park,Chennai,,13.108921,80.242503,280,2 hour 28 min
Phoenix Market City,mall,Chennai,142 Velachery Main Road (Velachery)  Chennai 600042  Tamil Nadu,12.991893,80.217165,0,2 hour 30 min
Poompuhar,art gallery,Chennai,Anna Salai  Mount Road  Chennai 600002  Tamil Nadu,13.065461,80.266892,180,2 hour 50 min
Ripon Buildings,monument,Chennai,Chennai 941735  Tamil Nadu,13.081772,80.274564,50,3 hour 20 min
Sri Kalikambal Temple,temple,Chennai,212 Thambu Chetty Street (George Town)  Chennai 941735  Tamil Nadu,13.094813,80.288801,50,2 hour 40 min
St. Mary's Armenian Church,church,Chennai,1 Armenian St (Netaji Subhash Chandra Bose Rd)  Chennai  Tamil Nadu,13.08917,80.287341,0,1 hour
St.Anthony's Church,church,Chennai,30 Link Road  Chennai 600032  Tamil Nadu,13.089962,80.28769,0,1 hour
Temple,temple,Chennai,Netaji Subhash Chandra Bose Road  Chennai 600003  Tamil Nadu,13.088794,80.28052,0,2 hour 20 min
Temple,temple,Chennai,Frazer Bridge Road  Chennai 600003  Tamil Nadu,13.085867,80.281127,0,2 hour 40 min
Vannam,art gallery,Chennai,2910-b  14th Main Road  Shanti Colony  Anna Nagar West (2910-B)  Chennai 600040  Tamil Nadu,13.081675,80.215155,190,2 hour 50 min
Vgp Universal Kingdom,amusement park,Chennai,Injambakkam  Chennai 600020  Tamil Nadu,12.996334,80.252508,350,3 hour 35 min
Vinyasa Art Gallery,art gallery,Chennai,Music Academy Premises  168 T T K Road  Chennai 600014  Tamil Nadu,13.087015,80.2864,170,3 hour 30 min
VR Mall,mall,Chennai,Metro Zone 44  Pillaiyar Koil Street  Jawaharlal Nehru Road  Anna  Chennai 600040  Tamil Nadu,13.080619,80.197324,0,2 hour 30 min
Zero Milestone,monument,Chennai,Muthuswamy Bridge  Park Town  Chennai 600003  Tamil Nadu,13.080427,80.281011,100,3 hour
3 february Park,amusement park,Delhi,,28.677287,77.189099,300,3 hour 30 min
Adventure Island,amusement park,Delhi,Rithala (Rohini)  New Delhi 110085  Delhi,28.724134,77.113775,280,2 hour 28 min
Appu Ghar,amusement park,Delhi,Gate 9  New Delhi 110002  Uttar Pradesh,28.616828,77.243332,350,3 hour 35 min
Central Baptist Church,church,Delhi,Chandni  Delhi 110006  Delhi,28.653945,77.233676,0,1 hour
Church,church,Delhi,New Delhi 110092  Delhi,28.63542,77.274759,0,1 hour
